SampleID	group
LP01	LP1
LP02	LP1
LP03	LP1
LP04	LP1
LP05	LP1
LP06	LP1
LP07	LP1
LP08	LP1
LP09	LP1
LP10	LP1
LP11	LP1
LP12	LP1
LP13	LP1
LP14	LP1
LP15	LP1
LP16	LP1
LP17	LP1
LP18	LP1
LP19	LP1
LP20	LP1
LP21	LP1
LP22	LP1
LP23	LP1
LP24	LP1
LP25	LP1
LP26	LP1
LP27	LP1
LP28	LP1
LP29	LP1
LP30	LP1
LP31	LP1
LP32	LP1
LP33	LP1
LP34	LP1
LP35	LP1
LP36	LP1
LP37	LP1
LP38	LP1
LP39	LP1
LP40	LP1
LP41	LP1
LP42	LP1
LP43	LP1
LP44	LP1
LP45	LP1
LP46	LP1
LP47	LP1
LP48	LP1
LP49	LP1
LP50	LP1
LP51	LP1
LP52	LP1
LP53	LP1
LP54	LP1
LP55	LP1
LP56	LP1
LP57	LP1
LP58	LP1
LP59	LP1
LP60	LP1
LP61	LP1
LP62	LP1
LP63	LP1
LP64	LP1
LP65	LP1
LP66	LP1
LP67	LP1
LP68	LP1
LP69	LP1
LP70	LP1
B1P	ILMAH
B21	ILMAH
B21P	ILMAH
B22	ILMAH
B22P	ILMAH
B23	ILMAH
B23P	ILMAH
B24	ILMAH
B24P	ILMAH
B25	ILMAH
B25P	ILMAH
B26	ILMAH
B26P	ILMAH
B27	ILMAH
B27P	ILMAH
B28	ILMAH
B2P	ILMAH
B31	ILMAH
B31P	ILMAH
B32	ILMAH
B32P	ILMAH
B33	ILMAH
B33P	ILMAH
B34	ILMAH
B34P	ILMAH
B35	ILMAH
B35P	ILMAH
B36	ILMAH
B36P	ILMAH
B37	ILMAH
B3P	ILMAH
B41	ILMAH
B41P	ILMAH
B42	ILMAH
B42P	ILMAH
B43	ILMAH
B43P	ILMAH
B44	ILMAH
B45	ILMAH
B45P	ILMAH
B46	ILMAH
B46P	ILMAH
B47P	ILMAH
B48	ILMAH
B48P	ILMAH
A1	ISS
A2	ISS
A3	ISS
A4	ISS
A5	ISS
A6	ISS
A7	ISS
A8	ISS
A9	ISS
B1	ISS
B2	ISS
B3	ISS
B4	ISS
B5	ISS
B6	ISS
B7	ISS
B8	ISS
C1	ISS
C2	ISS
C3	ISS
C4	ISS
C5	ISS
C6	ISS
C7	ISS
