"sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"B02","B01",0.00131233595800525,0.300696108638594,0.442257217847769,0.0402830081022481,0.215451329453384
"B03","B01",0.00696108638594089,0.348796074403743,0.283692799269657,0.0418806344859067,0.318669405454753
"B11","B01",0.0523793221499486,0.170489558370421,0.500969987447221,0.0147780440488417,0.261383087983567
"B12","B01",0.0120963140477006,0.206721442428392,0.396382517402716,0,0.384799726121191
"B13","B01",0.0199703297957321,0.392901974209746,0.335387424398037,0.0191715166039028,0.232568754992582
"B21","B01",0.0119821978774392,0.208889649663357,0.427479173798927,0.000855871276959945,0.350793107383316
"B22","B01",0.0283008102248089,0.223895926052722,0.449903001255278,0.00142645212826658,0.296473810338925
"B23","B01",0.0179162387310282,0.22201300924341,0.496975921488075,0,0.263094830537487
"B31","B01",0,0.40277302293735,0.277416409905284,0.0179162387310282,0.301894328426338
"B32","B01",0,0.457891133173571,0.295560880976834,0.0393700787401575,0.207177907109437
"B33","B01",0.00131233595800525,0.455152345087299,0.223952984137852,0.0456464681045304,0.273935866712313
"B41","B01",0.00239643957548785,0.366826429305033,0.389535547187036,0.0274449389478489,0.213796644984594
"B42","B01",0.0128951272395298,0.339381490357184,0.380235079310738,0.0249343832020997,0.242553919890448
"B43","B01",0.0132945338354445,0.356327741640991,0.379778614629693,0.0245920346913158,0.226007075202556
"B51","B01",0.00741755106698619,0.300068469702157,0.266689489900719,0.0163756704325003,0.409448818897638
"B52","B01",0.0225379436266119,0.297672030126669,0.367853474837384,0.00667579596028757,0.305260755449047
"B53","B01",0.00410818212940774,0.368652288029214,0.444653657423257,0.020826201072692,0.16175967134543
"B61","B01",0.0590551181102362,0.287515690973411,0.323519342690859,0.0178591806458975,0.312050667579596
"B62","B01",0.067556772794705,0.2229259386055,0.335786830993952,0.0211114914983453,0.352618966107497
"B63","B01",0.00890106128038343,0.180874129864202,0.552322264064818,0.015234508729887,0.24266803606071
"B03","B02",0.00159762638365856,0.254422001597626,0.393586671231313,0.0289284491612462,0.321465251626155
"B11","B02",0.0865000570580851,0.130092434097912,0.570466735136369,0.0237932214994865,0.189147552208148
"B12","B02",0.015405682985279,0.13768115942029,0.459945224238275,0.0114116170261326,0.375556316330024
"B13","B02",0.0348054319297044,0.304576058427479,0.367739358667123,0.0226520597968732,0.27022709117882
"B21","B02",0.0172315417094602,0.181787059226292,0.489444254250827,0.00348054319297044,0.30805660162045
"B22","B02",0.0227091178820039,0.172543649435125,0.485507246376812,0.00205409106470387,0.317185895241356
"B23","B02",0.0268173000114116,0.161132032408992,0.546958804062536,0,0.26509186351706
