"sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"B05","B04",0.0143215793677964,0.924740385712655,0,0.00353760127810111,0.057400433641447
"B06","B04",0.00473582106584503,0.780212256076686,0.0277302293735022,0.00251055574574917,0.184811137738218
"B07","B04",0.00473582106584503,0.826771653543307,0,0.00199703297957321,0.166495492411275
"B14","B04",0.00775989957777017,0.265148921602191,0.493438320209974,5.7058085130663e-05,0.233595800524934
"B15","B04",0.00319525276731713,0.431073833162159,0.492924797443798,0.000114116170261326,0.0726920004564647
"B16","B04",0.375156909734109,0.496633572977291,0,5.7058085130663e-05,0.128152459203469
"B17","B04",0.119194339837955,0.74609152116855,0,0.00114116170261326,0.133572977290882
"B24","B04",0.01118338468561,0.0830765719502454,0.527958461714025,0,0.37778158165012
"B25","B04",0.0322378180988246,0.0527787287458633,0.524420860435924,0,0.390562592719388
"B26","B04",0.0244779185210544,0.0505534634257674,0.527273764692457,5.7058085130663e-05,0.397637795275591
"B27","B04",0.015748031496063,0.277530526075545,0.532922515120393,0.00496405340636768,0.168834873901632
"B34","B04",0.00319525276731713,0.105329225151204,0.508102248088554,5.7058085130663e-05,0.383316215907794
"B35","B04",0,0.278044048841721,0.498744722127125,0.000399406595914641,0.222811822435239
"B36","B04",0.00650462170489558,0.627753052607555,0.0612803834303321,0.000342348510783978,0.304119593746434
"B37","B04",0,0.936893757845487,0.052322264064818,0,0.0107839780896953
"B44","B04",0.183727034120735,0.0641332876868652,0.506789912130549,0.00193997489444254,0.243409791167408
"B45","B04",0.00319525276731713,0.206036745406824,0.534291909163528,0.000798813191829282,0.255677279470501
"B46","B04",0.0500969987447221,0.569154399178364,0.0186579938377268,0,0.362090608239187
"B47","B04",0.0238502795846171,0.0627068355585987,0.540682414698163,0.0122104302179619,0.36055003994066
"B54","B04",0.0137509985164898,0.0562592719388337,0.557172201300924,0,0.372817528243752
"B55","B04",0.00890106128038343,0.202670318384115,0.514264521282666,0.00353760127810111,0.270626497774735
"B56","B04",0.0179162387310282,0.132203583247746,0.608125071322606,0.015919205751455,0.225835900947164
"B57","B04",0.00319525276731713,0.015234508729887,0.571208490243067,0.000228232340522652,0.410133515919206
"B64","B04",0.0348624900148351,0.067727947050097,0.603617482597284,0.00136939404313591,0.292422686294648
"B65","B04",0.00319525276731713,0.924911559968047,0,0,0.0718931872646354
"B66","B04",0.00319525276731713,0.506219331279242,0.479402031267831,0,0.01118338468561
"B67","B04",0.00399406595914641,0.495378295104416,0.484822549355244,0,0.0158050895811937
"B06","B05",0.00467876298071437,0.753965536916581,0.0603103959831108,0.0275590551181102,0.153486249001483
"B07","B05",0.00427935638479973,0.745178591806459,0.0682985279014036,0.0206550268173,0.161588497090038
"B14","B05",0.0350907223553578,0.0620221385370307,0.455779984023736,0.000969987447221271,0.446137167636654
"B15","B05",0.02151089809426,0.253394956065274,0.407394727832934,0.00473582106584503,0.312963596941687
"B16","B05",0.020141504051124,0.411103503366427,0.413614059112176,0.000171174255391989,0.154969759214881
"B17","B05",0.0396553691658108,0.394100193997489,0.392502567613831,0.000627638936437293,0.173114230286432
"B24","B05",0.0243638023507931,0.0849594887595572,0.66609608581536,0.0201985621362547,0.204382060938035
"B25","B05",0.000228232340522652,0.114230286431587,0.649206892616684,0,0.236334588611206
"B26","B05",0.0183727034120735,0.101734565787972,0.594259956635855,0,0.285632774164099
"B27","B05",0.0216250142645213,0.0365171744836243,0.782951044162958,0.0263037772452357,0.132602989843661
"B34","B05",0.0252767317128837,0.129008330480429,0.655711514321579,0.0158050895811937,0.174198333903914
"B35","B05",0.00433641446993039,0.312450074175511,0.471356841264407,0.00136939404313591,0.210487276047016
"B36","B05",0.0221955951158279,0.541880634485907,0.19103046901746,0.00673285404541824,0.238160447335387
"B37","B05",0.00165468446878923,0.849709003765834,0.0707520255620221,0.00405112404427707,0.0738331621590779
"B44","B05",0.0356613032066644,0.0400547757617254,0.736848111377382,0.0122104302179619,0.175225379436266
"B45","B05",0.0220814789455666,0.0434212027844346,0.722469473924455,0.00958575830195139,0.202442086043592
"B46","B05",0.0237932214994865,0.450530640191715,0.260869565217391,0,0.264806573091407
"B47","B05",0.0145498117083191,0.0663585530069611,0.659990870706379,0.0275019970329796,0.231598767545361
"B54","B05",0.0111263266004793,0.0723496519456807,0.611434440260185,0.000228232340522652,0.304861348853132
"B55","B05",0.0136939404313591,0.221955951158279,0.507588725322378,0.00827342234394614,0.248487960744037
"B56","B05",0.0236791053292251,0.128551865799384,0.692628095401118,0.020141504051124,0.134999429419149
"B57","B05",0.0182585872418122,0.108125071322606,0.779470500969987,0.00330936893757845,0.0908364715280155
"B64","B05",0.0297843204382061,0.0612233253452014,0.674369508159306,0.00450758872532238,0.230115257331964
"B65","B05",0.0356613032066644,0.404541823576401,0.433013808056602,0.00348054319297044,0.123302521967363
"B66","B05",0.0356613032066644,0.413557001027046,0.481342006162273,0.00188291680931188,0.067556772794705
"B67","B05",0.0364601163984937,0.400661873787516,0.486762524249686,0.00165468446878923,0.0744608010955152
"B07","B06",0.00627638936437293,0.610007988131918,0.156738559853931,0.010156339153258,0.216820723496519
"B14","B06",0.0144927536231884,0.103959831108068,0.625984251968504,0.000285290425653315,0.255277872874586
"B15","B06",0.010669861919434,0.304290768001826,0.0886682642930503,0.00319525276731713,0.593175853018373
"B16","B06",0.209802579025448,0.225892959032295,0.33042337099167,0.0368024649092776,0.19707862604131
"B17","B06",0.252424968618053,0.128551865799384,0.375556316330024,0.0217391304347826,0.221727718817756
"B24","B06",0.00747460915211685,0.108752710259044,0.649321008786945,0.00290996234166381,0.231541709460231
"B25","B06",0.000912929362090608,0.199760356042451,0.606299212598425,0.0304690174597741,0.162558484537259
"B26","B06",0.015234508729887,0.143158735592834,0.56795617939062,0,0.27365057628666
"B27","B06",0.0283578683099395,0.0787972155654456,0.675054205180874,0.00376583361862376,0.214024877325117
"B34","B06",0.00433641446993039,0.201814447107155,0.340066187378752,0.0340636768230058,0.419719274221157
"B35","B06",0.00279584617140249,0.369451101221043,0.373673399520712,0.00256761383087984,0.251512039255963
"B36","B06",0.0355471870364031,0.529556088097684,0.249229715850736,0.00519228574689033,0.180474723268287
"B37","B06",0,0.710715508387539,0.0814218874814561,0.00365171744836243,0.204210886682643
"B44","B06",0.052664612575602,0.24529270797672,0.497603560424512,0.000627638936437293,0.203811480086728
"B45","B06",0.0451900034234851,0.222697706264978,0.526303777245236,0.020483852561908,0.185324660504393
"B46","B06",0.031153714481342,0.326657537373046,0.379208033778386,0,0.262980714367226
"B47","B06",0.0072463768115942,0.0477576172543649,0.627924226862946,0.0269314161816729,0.290140362889421
"B54","B06",0.0165468446878923,0.1695195709232,0.559968047472327,0.00479287915097569,0.249172657765605
"B55","B06",0.00399406595914641,0.22115713796645,0.481684354673057,0.00844459659933813,0.284719844802008
"B56","B06",0.0381148008672829,0.142987561337442,0.593347027273765,0.00621933127924227,0.219331279242269
"B57","B06",0.0147209859637111,0.180874129864202,0.4629693027502,0.00467876298071437,0.336756818441173
"B64","B06",0.00895811936551409,0.169234280497546,0.604530411959375,0.00639050553463426,0.210886682642931
"B65","B06",0.190516946251284,0.0809083647152802,0.471813305945452,0.00336642702270912,0.253394956065274
"B66","B06",0.205523222640648,0.0886682642930503,0.522138537030697,0.00393700787401575,0.179732968161588
"B67","B06",0.202670318384115,0.0769713568412644,0.547244094488189,0.00359465936323177,0.1695195709232
"B14","B07",0.00644756361976492,0.218703640305831,0.34594317014721,5.7058085130663e-05,0.428848567842063
"B15","B07",0.00216820723496519,0.41652402145384,0.0147780440488417,0.00233938149035718,0.564190345771996
"B16","B07",0.154798584959489,0.185267602419263,0.416238731028187,0.020312678306516,0.223382403286546
"B17","B07",0.325744608010955,0.025390847883145,0.401289512723953,0.0205979687321694,0.226977062649777
"B24","B07",0.00804519000342349,0.269200045646468,0.474894442542508,0.00359465936323177,0.244265662444368
"B25","B07",0.0288713910761155,0.2314846513751,0.4586899463654,0.000114116170261326,0.280839895013123
"B26","B07",0.00576286659819696,0.233881090950588,0.484023736163414,0,0.276332306287801
"B27","B07",0.00667579596028757,0.083818327056944,0.536346000228232,0.00216820723496519,0.370991669519571
"B34","B07",0,0.292936209060824,0.269941800753167,0.0221385370306973,0.414983453155312
"B35","B07",0.000627638936437293,0.472212712541367,0.0910647038685382,0.00228232340522652,0.433812621248431
"B36","B07",0.00211114914983453,0.480828483396097,0.305146639278786,0.0210544334132147,0.190859294762068
"B37","B07",0.0067899121305489,0.77108296245578,0.0528357868309939,0.00211114914983453,0.167180189432843
"B44","B07",0.00273878808627183,0.363574118452585,0.258073719045989,0.0207120849024307,0.354901289512724
"B45","B07",0.00758872532237818,0.333105100992811,0.287173342462627,0.0197991555403401,0.352333675681844
"B46","B07",0.00964281638708205,0.372532237818099,0.325002852904257,5.7058085130663e-05,0.292765034805432
"B47","B07",0.00176880063905055,0.0510669861919434,0.671744836243296,0,0.27541937692571
"B54","B07",0.00171174255391989,0.244893301380806,0.314161816729431,0,0.439233139335844
"B55","B07",0.00439347255506105,0.392331393358439,0.286374529270798,0.00667579596028757,0.310224808855415
"B56","B07",0.00667579596028757,0.304690174597741,0.457605842747917,0.0046217048955837,0.226406481798471
"B57","B07",0.00216820723496519,0.265148921602191,0.408707063790939,0.00639050553463426,0.31758530183727
"B64","B07",0.00810224808855415,0.229601734565788,0.328996918863403,0.00268173000114116,0.430617368481114
"B65","B07",0.148236905169463,0.182757046673514,0.430617368481114,0.00233938149035718,0.236049298185553
"B66","B07",0.148236905169463,0.194396896040169,0.489216021910305,0.0026246719160105,0.165525504964053
"B67","B07",0.148236905169463,0.177393586671231,0.498345315531211,0.00479287915097569,0.17123131347712
"B15","B14",0.00684697021567956,0.690003423485108,0.0184297614972042,0,0.284719844802008
"B16","B14",0.00382289170375442,0.723325345201415,0.0279014036288942,5.7058085130663e-05,0.244893301380806
"B17","B14",0.0124957206436152,0.675624786032181,0.0599109893871962,0.000342348510783978,0.251626155426224
"B24","B14",0.0143786374529271,0.358724181216478,0.344003195252767,0,0.282893986077827
"B25","B14",0,0.347312564190346,0.366027616113203,0.0122674883030925,0.274392331393358
"B26","B14",0.00536346000228232,0.371276959945224,0.332135113545589,0,0.291224466506904
"B27","B14",0.00199703297957321,0.558598653429191,0.1445851877211,0.0228232340522652,0.271995891817871
"B34","B14",0.00621933127924227,0.13682528814333,0.316501198219788,0.00125527787287459,0.539198904484765
"B35","B14",0,0.305203697363917,0.412073490813648,0,0.282722811822435
"B36","B14",0.0126668948990072,0.157537373045761,0.335786830993952,0,0.49400890106128
"B37","B14",0.00907223553577542,0.0240214538400091,0.497261211913728,0.000114116170261326,0.469530982540226
"B44","B14",0.000855871276959945,0.335273308227776,0.45435353189547,0.00211114914983453,0.20740613944996
"B45","B14",0.00319525276731713,0.321522309711286,0.401517745064476,0.00114116170261326,0.272623530754308
"B46","B14",0.00325231085244779,0.323462284605729,0.38206093803492,0.000912929362090608,0.290311537144813
"B47","B14",0.00382289170375442,0.362090608239187,0.316158849709004,0.0235649891589638,0.29436266118909
"B54","B14",0,0.116969074517859,0.547244094488189,0,0.335786830993952
"B55","B14",0.0105557457491727,0.247346799041424,0.405397694853361,0.00114116170261326,0.335558598653429
"B56","B14",0.0114116170261326,0.134999429419149,0.593118794933242,0.00279584617140249,0.257674312450074
"B57","B14",0.00319525276731713,0.11879493324204,0.629008330480429,0.00131233595800525,0.247689147552208
"B64","B14",0.00855871276959945,0.14372931644414,0.562136254707292,0,0.285575716078968
"B65","B14",0.00405112404427707,0.0353760127810111,0.43455437635513,5.7058085130663e-05,0.525961428734452
"B66","B14",0.00519228574689033,0.0387994978888508,0.711229031153714,5.7058085130663e-05,0.244722127125414
"B67","B14",0.000855871276959945,0.0328083989501312,0.716649549241127,0.00148351021339724,0.248202670318384
"B16","B15",0.00427935638479973,0.872874586328883,0,0.000171174255391989,0.122674883030925
"B17","B15",0.00387994978888508,0.851591920575146,0.00519228574689033,0.000342348510783978,0.138993495378295
"B24","B15",0.00918635170603675,0.508844003195253,0.197021567956179,0,0.284948077142531
"B25","B15",0.0057058085130663,0.506276389364373,0.194054547529385,0.00136939404313591,0.29259386055004
"B26","B15",0.0226520597968732,0.521282665753737,0.113659705580281,0,0.342405568869109
"B27","B15",0.00992810681273536,0.487732511696907,0.0779984023736163,0.00536346000228232,0.418977519114459
"B34","B15",0.00222526532009586,0.3554148122789,0.258815474152687,0.000969987447221271,0.382574460801096
"B35","B15",0.0010841036174826,0.508102248088554,0.0217391304347826,0.00057058085130663,0.468503937007874
"B36","B15",0.0212826657537373,0.337042108866826,0.112005021111491,0.00211114914983453,0.52755905511811
"B37","B15",0.00279584617140249,0.235535775419377,0.494408307657195,0.000114116170261326,0.267145954581764
"B44","B15",0.0402259500171174,0.455951158279128,0.306002510555746,0.00148351021339724,0.196336870934611
"B45","B15",0.00348054319297044,0.491612461485793,0.309597169918978,0.000684697021567956,0.194625128380692
"B46","B15",0.0257902544790597,0.272110007988132,0.410247632089467,0.00119821978774392,0.290653885655597
"B47","B15",0.0242496861805318,0.247460915211686,0.163927878580395,0,0.564361520027388
"B54","B15",0.00171174255391989,0.318555289284492,0.144414013465708,0,0.53531895469588
"B55","B15",0.00912929362090608,0.433127924226863,0.0496975921488075,0.00621933127924227,0.501825858724181
"B56","B15",0.00216820723496519,0.327798699075659,0.232911103503366,0.00981399064247404,0.427307999543535
"B57","B15",0,0.249743238616912,0.654456236448705,0.000855871276959945,0.0949446536574233
"B64","B15",0.00057058085130663,0.349709003765834,0.163699646239872,0.000285290425653315,0.485735478717334
"B65","B15",0,0.730343489672487,0.00319525276731713,0.000171174255391989,0.266290083304804
"B66","B15",0,0.251683213511355,0.672030126668949,0,0.0762866598196965
"B67","B15",0,0.247061508615771,0.677450644756362,0.000456464681045304,0.0750313819468219
"B17","B16",0.000855871276959945,0.792765034805432,0,0.00193997489444254,0.204439119023166
"B24","B16",0.00844459659933813,0.272110007988132,0.482254935524364,0,0.237190459888166
"B25","B16",0.0107839780896953,0.110578568983225,0.614173228346457,0.000513522766175967,0.263950701814447
"B26","B16",0.00890106128038343,0.067899121305489,0.565046217048956,0,0.358153600365172
"B27","B16",0.0268743580965423,0.473125641903458,0.332933926737419,0.00290996234166381,0.164156110920918
"B34","B16",0.000684697021567956,0.120791966221614,0.621476663243182,0,0.257046673513637
"B35","B16",0.00102704553235193,0.277359351820153,0.455095287002168,0.000228232340522652,0.266290083304804
"B36","B16",0.00992810681273537,0.291110350336643,0.383487390163186,0.00228232340522652,0.313191829282209
"B37","B16",0.663756704325003,0.0284149263950702,0.0529499030012553,0,0.254878466278672
"B44","B16",0,0.159705580280726,0.707691429875613,0.00405112404427707,0.128551865799384
"B45","B16",0.000627638936437293,0.221442428392103,0.651318041766518,0.0026246719160105,0.123987218988931
"B46","B16",0.0195138651146868,0.238559853931302,0.471014492753623,0.00639050553463426,0.264521282665754
"B47","B16",0,0.275932899691886,0.453954125299555,0.0112404427707406,0.258872532237818
"B54","B16",0.00599109893871962,0.42337099166952,0.199760356042451,0,0.37087755334931
"B55","B16",0.0130092434097912,0.242325687549926,0.443341321465252,0.0015405682985279,0.299783179276503
"B56","B16",0.0273878808627182,0.112518543877667,0.609152116854958,0.020141504051124,0.230799954353532
"B57","B16",0.157137966449846,0.0455323519342691,0.716250142645213,0.000342348510783978,0.0807371904598882
"B64","B16",0,0.322149948647723,0.380006846970216,5.7058085130663e-05,0.29778614629693
"B65","B16",0.147951614743809,0.458918178705923,0,0,0.393130206550268
"B66","B16",0.144813420061623,0.0451329453383544,0.489558370421089,5.7058085130663e-05,0.320438206093803
"B67","B16",0.214823690516946,0.0357754193769257,0.67214424283921,0.000114116170261326,0.0771425310966564
"B24","B17",0.00890106128038343,0.189033436037887,0.525619080223668,0.000399406595914641,0.276047015862148
"B25","B17",0.00907223553577542,0.115200273878809,0.637395868994637,0.000513522766175967,0.237818098824603
"B26","B17",0.046045874700445,0.0426794476777359,0.625756019627981,0,0.285518657993838
"B27","B17",0.026589067670889,0.441686636996462,0.332020997375328,0.00376583361862376,0.195937464338697
"B34","B17",0.0977404998288257,0.0187150519228575,0.607953897067214,5.7058085130663e-05,0.275533493095972
"B35","B17",0.254593175853018,0.0364601163984937,0.426338012096314,0.000228232340522652,0.282380463311651
"B36","B17",0.107725664726692,0.166723724751797,0.397181330594545,0.000912929362090608,0.327456350564875
"B37","B17",0.442884856784206,0.248430902658907,0.0525504964053406,0,0.256133744151546
"B44","B17",0.03098254022595,0.1403058313363,0.735992240100422,0.00387994978888509,0.0888394385484423
"B45","B17",0.0238502795846171,0.212484309026589,0.653029784320438,0.00330936893757845,0.107326258130777
"B46","B17",0.0221385370306973,0.248487960744037,0.511354558941002,0.00616227319411161,0.211856670090152
"B47","B17",0.0191144585187721,0.265377153942714,0.458747004450531,0.0123816044733539,0.24437977861463
"B54","B17",0.0137509985164898,0.37863745292708,0.246319753509072,0,0.361291795047358
"B55","B17",0.0134086500057058,0.264692456921146,0.427193883373274,0,0.294705009699874
"B56","B17",0.100935752596143,0.0466735136368823,0.585016546844688,0.0195709231998174,0.247803263722469
"B57","B17",0.115143215793678,0.0628780098139906,0.701814447107155,0.000342348510783978,0.119821978774392
"B64","B17",0.0280155197991555,0.303434896724866,0.375955722925939,0,0.29259386055004
"B65","B17",0.110635627068356,0.476377952755905,0,0.00268173000114116,0.410304690174598
"B66","B17",0.110635627068356,0.046045874700445,0.486762524249686,0,0.356555973981513
"B67","B17",0.000798813191829282,0.251055574574917,0.492183042337099,5.7058085130663e-05,0.255905511811024
"B25","B24",0.00872988702499144,0.166210201985621,0.587184754079653,0,0.237875156909734
"B26","B24",0.0200844459659934,0.234223439461372,0.490984822549355,0.00484993723610636,0.249857354787173
"B27","B24",0.0122104302179619,0.418635170603675,0.355072463768116,0.0144927536231884,0.199589181787059
"B34","B24",0.0131804176651832,0.185210544334132,0.468732169348397,0,0.332876868652288
"B35","B24",0.00564875042793564,0.299326714595458,0.416752253794363,0.00290996234166381,0.27536231884058
"B36","B24",0.025733196393929,0.174997147095743,0.565959146411046,0,0.233310510099281
"B37","B24",0.0175168321351135,0.0415382859751227,0.529441971927422,0,0.411502909962342
"B44","B24",0.00684697021567956,0.193027501997033,0.634485906652973,0.000798813191829282,0.164840807942485
"B45","B24",0.00952870021682072,0.198904484765491,0.583590094716421,0.000399406595914641,0.207577313705352
"B46","B24",0.00536346000228232,0.179333561565674,0.596998744722127,0,0.218304233709917
"B47","B24",0,0.187664041994751,0.562649777473468,0,0.249686180531781
"B54","B24",0.00245349766061851,0.114344402601849,0.565845030240785,0,0.317357069496748
"B55","B24",0.0234508729887025,0.269713568412644,0.460744037430104,0,0.24609152116855
"B56","B24",0.041823576400776,0.124158393244323,0.593917608125071,0,0.24010042222983
"B57","B24",0.00547757617254365,0.117482597284035,0.585415953440602,0,0.291623873102819
"B64","B24",0.00188291680931188,0.181102362204724,0.520312678306516,0,0.296702042679448
"B65","B24",0.0067899121305489,0.0528928449161246,0.467476891475522,0,0.472840351477804
"B66","B24",0.00798813191829282,0.0660732625813078,0.523051466392788,0,0.402887139107612
"B67","B24",0.0067899121305489,0.0678420632203583,0.635570010270455,0,0.289798014378637
"B26","B25",0.0453611776788771,0.121990186009358,0.469131575944311,0.00125527787287459,0.362261782494579
"B27","B25",0,0.371676366541139,0.363973525048499,0.0136368823462285,0.250713226064133
"B34","B25",0.00382289170375442,0.165696679219445,0.528471984480201,0.0245349766061851,0.277473467990414
"B35","B25",0.00564875042793564,0.317300011411617,0.39067670888965,0,0.286374529270798
"B36","B25",0.0110692685153486,0.164156110920918,0.597112860892388,0.0015405682985279,0.226121191372818
"B37","B25",0.040967705123816,0.0423941572520826,0.515976263836586,0,0.400661873787516
"B44","B25",0.0106128038343033,0.304461942257218,0.486020769142988,0.00114116170261326,0.197763323062878
"B45","B25",0.0145498117083191,0.277644642245806,0.453269428277987,0.00393700787401575,0.250599109893872
"B46","B25",0.01032751340865,0.205808513066301,0.487732511696907,0.0155197991555403,0.280611662672601
"B47","B25",0.0322948761839553,0.189661074974324,0.541994750656168,0,0.236049298185553
"B54","B25",0,0.124158393244323,0.509985164897866,0,0.365856441857811
"B55","B25",0.0510099281068127,0.248145612233253,0.394214310167751,0,0.306630149492183
"B56","B25",0.0431359123587812,0.118851991327171,0.575773137053521,0,0.262238959260527
"B57","B25",0.0300125527787287,0.0451900034234851,0.635627068355586,0.000684697021567956,0.288485678420632
"B64","B25",0.00696108638594089,0.11097797557914,0.598368138765263,5.7058085130663e-05,0.283635741184526
"B65","B25",0.00901517745064476,0.121819011753966,0.478888508501655,0.000456464681045304,0.38982083761269
"B66","B25",0.00376583361862376,0.0609950930046788,0.545018829168093,0.000456464681045304,0.389763779527559
"B67","B25",0.0107839780896953,0.0583704210886683,0.589866484080794,0.00559169234280497,0.335387424398037
"B27","B26",0.00844459659933813,0.345886112062079,0.357811251854388,0,0.287858039484195
"B34","B26",0.0128951272395298,0.166381376241013,0.389535547187036,0,0.43118794933242
"B35","B26",0.0143786374529271,0.333846856099509,0.363345886112062,0,0.288428620335502
"B36","B26",0.0124957206436152,0.140990528357868,0.442827798699076,0,0.403685952299441
"B37","B26",0.0218532466050439,0.0481570238502796,0.530640191715166,0,0.39934953782951
"B44","B26",0.00205409106470387,0.230971128608924,0.559283350450759,0.000741755106698619,0.206949674768915
"B45","B26",0.0067899121305489,0.244779185210544,0.54216592491156,0.000969987447221271,0.205294990300126
"B46","B26",0.020141504051124,0.183156453269428,0.482311993609494,0,0.314390049069953
"B47","B26",0.0149492183042337,0.15405682985279,0.478717334246263,0,0.352276617596713
"B54","B26",0.0198562136254707,0.107098025790254,0.527387880862718,0,0.345657879721557
"B55","B26",0.0188862261782495,0.299212598425197,0.407508844003195,0,0.274392331393358
"B56","B26",0.0233938149035718,0.144699303891361,0.56715736619879,0,0.264749515006276
"B57","B26",0.00730343489672487,0.0611662672600708,0.590551181102362,0,0.340979116740842
"B64","B26",0.0098710487276047,0.167237247517973,0.520426794476777,0.00268173000114116,0.299783179276503
"B65","B26",0.0179732968161588,0.0518657993837727,0.467476891475522,0,0.462684012324546
"B66","B26",0.0179732968161588,0.0692685153486249,0.529670204267945,0,0.383087983567271
"B67","B26",0.0108980942599566,0.073490813648294,0.574289626840123,0,0.341321465251626
"B34","B27",0.00336642702270912,0.0443911902316558,0.367568184411731,0.00502111149149835,0.579653086842406
"B35","B27",0.000969987447221271,0.0380577427821522,0.744950359465936,0.000684697021567956,0.215337213283122
"B36","B27",0.00216820723496519,0.0516946251283807,0.639164669633687,0.00547757617254365,0.301494921830423
"B37","B27",0.0163756704325003,0.026760241926281,0.516261554262239,0.00644756361976492,0.434154969759215
"B44","B27",0.0156339153258017,0.489158963825174,0.274962912244665,0.00484993723610636,0.215394271368253
"B45","B27",0.0317813534177793,0.488017802122561,0.261896610749743,0.00427935638479973,0.214024877325117
"B46","B27",0,0.413328768686523,0.37949332420404,0.00838753851420746,0.19879036859523
"B47","B27",0.00348054319297044,0.394043135912359,0.314732397580737,0.0134086500057058,0.274335273308228
"B54","B27",0.0030811365970558,0.107953897067214,0.594374072806117,0,0.294590893529613
"B55","B27",0.00656167979002625,0.0748031496062992,0.668378409220587,0.00450758872532238,0.245749172657766
"B56","B27",0.00330936893757846,0.104188063448591,0.614629693027502,0.0134086500057058,0.264464224580623
"B57","B27",0.00496405340636768,0.015919205751455,0.797272623530754,0.0179162387310282,0.163927878580395
"B64","B27",0.0328654570352619,0.141218760698391,0.62221841834988,0.0151774506447564,0.188519913271711
"B65","B27",0.0138080566016205,0.0309254821408194,0.469930389136141,0.00644756361976492,0.478888508501655
"B66","B27",0.0102133972383887,0.0283008102248089,0.748430902658907,0.0164327285176309,0.196622161360265
"B67","B27",0.0108980942599566,0.0364601163984937,0.780098139906425,0.00490699532123702,0.167636654113888
"B35","B34",0.000798813191829282,0.381661531439005,0.299440830765719,0.000342348510783978,0.317756476092662
"B36","B34",0.00119821978774392,0.219160104986877,0.39153258016661,0.00171174255391989,0.38639735250485
"B37","B34",0.00239643957548785,0.105557457491727,0.51203925596257,5.7058085130663e-05,0.379949788885085
"B44","B34",0.235193426908593,0.289626840123245,0.239643957548785,0.0159762638365856,0.219559511582791
"B45","B34",0.235193426908593,0.280497546502339,0.192856327741641,0.015919205751455,0.275533493095972
"B46","B34",0.0037087755334931,0.172315417094602,0.510612803834303,0,0.313363003537601
