"sample1","sample2","Heterogeneous.Selection","Homogeneous.Selection","Dispersal.Limitation","Homogenizing.Dispersal","Drift.and.Others"
"B09","B08",0.00399406595914641,0.233367568184412,0.443284263380121,0.0293849138422915,0.289969188634029
"B10","B08",0.00764578340750884,0.231313477119708,0.472669177222412,0.0237361634143558,0.264635398836015
"B18","B08",0.00564875042793564,0.0223097112860892,0.403685952299441,0.00604815702385028,0.562307428962684
"B19","B08",0.00707520255620221,0.0601392217277188,0.414584046559397,0,0.518201529156681
"B20","B08",0.00701814447107155,0.0232226406481798,0.424055688691088,0.00576286659819696,0.539940659591464
"B28","B08",0,0.0426223895926053,0.570980257902545,0.00798813191829282,0.378409220586557
"B29","B08",0.0241355700102705,0.480029670204268,0.0151203925596257,0.0010841036174826,0.479630263608353
"B30","B08",0.0247632089467077,0.488360150633345,0.0168321351135456,0.00610521510898094,0.463939290197421
"B38","B08",0.00348054319297044,0.236220472440945,0.445908935296131,0.0228232340522652,0.291566815017688
"B39","B08",0.00279584617140249,0.184582905397695,0.445053064019171,0.0189432842633801,0.348624900148351
"B40","B08",0,0.452242382745635,0.435980828483396,0.00142645212826658,0.110350336642702
"B48","B08",0.00279584617140249,0.440260184868196,0.0302407851192514,0.00930046787629807,0.517402715964852
"B49","B08",0.00684697021567956,0.0663585530069611,0.470215679561794,0.00279584617140249,0.453782951044163
"B50","B08",0.00467876298071437,0.0563733881090951,0.464053406367682,0.00935752596142873,0.46553691658108
"B58","B08",0.0165468446878923,0.231712883715623,0.398664840807943,0.0167750770284149,0.336300353760128
"B59","B08",0.0180874129864202,0.19279926965651,0.394670774848796,0.000627638936437293,0.393814903571836
"B60","B08",0.0499828825744608,0.432956749971471,0.0150062763893644,0.00547757617254365,0.49657651489216
"B68","B08",0.00633344744950359,0.0952870021682072,0.884057971014493,0.000228232340522652,0.0140933470272738
"B69","B08",0,0.257788428620336,0.699475065616798,0.000285290425653315,0.0424512153372133
"B70","B08",0,0.918692228688805,0,0.000285290425653315,0.0810224808855415
"B10","B09",0.0212256076686066,0.488645441058998,0.247917379892731,0.0579710144927536,0.184240556886911
"B18","B09",0.0122674883030925,0.174369508159306,0.526018486819582,0.0397124272509415,0.247632089467077
"B19","B09",0.0131233595800525,0.182585872418122,0.410019399748944,0.00182585872418122,0.3924455095287
"B20","B09",0.00850165468446879,0.194568070295561,0.52407851192514,0.0348624900148351,0.237989273079995
"B28","B09",0.025390847883145,0.031153714481342,0.473753280839895,0.0182585872418122,0.451443569553806
"B29","B09",0.0115257331963939,0.187949332420404,0.37007874015748,0.0192856327741641,0.411160561451558
"B30","B09",0.0364601163984937,0.308170717790711,0.407394727832934,0.0176880063905055,0.230286431587356
"B38","B09",0.00513522766175967,0.467990414241698,0.229544676480657,0.051466392787858,0.245863288828027
"B39","B09",0.00793107383316216,0.322378180988246,0.365571151432158,0.0433070866141732,0.260812507132261
"B40","B09",0.0094145840465594,0.285176309483054,0.487504279356385,0.0434212027844346,0.174483624329567
"B48","B09",0.0094145840465594,0.158279128152459,0.420917494008901,0.00285290425653315,0.408535889535547
"B49","B09",0.00348054319297044,0.284377496291224,0.401574803149606,0,0.310567157366199
"B50","B09",0.0243067442656624,0.271368252881433,0.402944197192742,0.00171174255391989,0.299669063106242
"B58","B09",0.0240214538400091,0.357640077598996,0.420061622731941,0.00861577085473011,0.189661074974324
"B59","B09",0.0289855072463768,0.325687549925824,0.346513750998517,0.00547757617254365,0.293335615656739
"B60","B09",0.0264749515006276,0.188405797101449,0.540054775761725,0.0186009357525961,0.226463539883602
"B68","B09",0.00359465936323177,0.226520597968732,0.54473353874244,0.0389706721442428,0.186180531781353
"B69","B09",0.0067899121305489,0.234736962227548,0.356498915896382,0.0273308227775876,0.374643386967933
"B70","B09",0.00399406595914641,0.131975350907224,0.520769142987561,0.0298413785233368,0.313420061622732
"B18","B10",0.00553463425767431,0.217904827114002,0.447848910190574,0.0562592719388337,0.272452356498916
"B19","B10",0.00433641446993039,0.22372475179733,0.488246034463083,0.0280725778842862,0.25562022138537
"B20","B10",0.0156339153258017,0.178078283692799,0.54644528129636,0.0442770740613945,0.215565445623645
"B28","B10",0.0231655825630492,0.150918635170604,0.583647152801552,0.015748031496063,0.226520597968732
"B29","B10",0.0698961542850622,0.227547643501084,0.431701472098596,0.0168321351135456,0.254022595001712
"B30","B10",0.0420518087412986,0.227775875841607,0.489558370421089,0.0195709231998174,0.221043021796189
"B38","B10",0.00148351021339724,0.460972269770626,0.283806915439918,0.0587698276845829,0.194967476891476
"B39","B10",0.00427935638479973,0.382802693141618,0.361120620791966,0.0325801666096086,0.219217163072007
"B40","B10",0.00450758872532238,0.289398607782723,0.520312678306516,0.0342348510783978,0.151546274107041
"B48","B10",0.0123245463882232,0.212427250941458,0.442827798699076,0.0131804176651832,0.31923998630606
"B49","B10",0.0231085244779185,0.26509186351706,0.419148693369851,0.0180874129864202,0.27456350564875
"B50","B10",0.0072463768115942,0.258758416067557,0.485849594887596,0.0120392559625699,0.236106356270684
