,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70
ac1caf33ea29e9b8c6d8ca3165a96497,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,16,0,0,6,7,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,0,7,8,18,15,0,0,96,196,3,81,6,4,4489,3,0,0,797,508,15,98,6,6487,8457,42,1731,2261
a85d9d8c85cf774e2e3ab9f583edd34a,0,0,0,0,0,0,0,0,0,0,13,17,13,22,0,0,0,12,42,12,8,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,6,0,5,0,5,0,18,115,0,15,0,0,0,0,2,0,203,526,6854,227,7395,1,23,6936,210,727
258241b24f0111f1dc750e6d59bcbc40,14,16,229,6053,4636,2330,1766,0,1285,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,530,63,136,55,419,6629,616,40,375,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877686106c883adabd9e93e77ed5b77d,1067,493,582,8,74,251,635,0,220,1929,0,38,3025,22,3676,3,0,33,12,16,54,64,54,35,61,371,13,0,0,0,760,394,840,387,469,392,6,841,619,50,0,0,0,0,0,42,42,48,64,17,70,41,45,60,206,99,11,0,0,0,103,0,0,53,0,0,0,0,0,0
cd3e2a417116882deadddc19f6769f16,0,0,0,0,0,0,0,5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d20cef13f830c5dafdc08346847c4bb1,73,35,479,1,16,170,108,0,80,101,73,186,920,3307,2825,149,102,238,188,150,293,282,122,125,195,281,3519,55,72,101,191,93,93,67,218,68,3,86,57,11,72,76,77,67,67,164,161,286,307,1160,47,18,45,33,0,0,5,221,223,62,54,25,4,94,0,2,0,1,0,0
148646864f60ffcf5c0f908b61827f17,634,234,340,2,72,292,1193,2,226,198,26,23,12,23,174,0,0,0,33,27,0,0,0,24,22,35,0,0,0,0,1201,1915,2968,570,3374,561,13,811,1074,176,0,0,0,0,0,0,0,0,0,35,180,53,112,30,49,66,29,290,336,22,127,270,27,51,33,203,4,0,0,2
b483b009f53e73cdb9528ae301986769,443,391,812,1,55,287,248,25,633,366,94,649,150,183,84,31,86,314,455,269,479,512,518,394,418,824,138,8,34,31,251,263,721,838,351,1496,11,542,801,23,15,42,29,18,20,421,519,453,437,491,866,699,183,651,599,552,108,52,79,19,417,425,27,341,2,4,15,8,37,6
9b9b249ad30edf4c74ee7e73f1e27e5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,2099,0,0,0,319,135,4,0,1,1758,0,2,46,48
c7d99014371997f95519be583d54bd36,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,0,0,0,1,0,44,118,971,15,1064,1,5,1196,50,143
