treat	Day	value1	value2	value3	value4	value5	value6	value7	value8	value9	value10
ermB	1	4.52668942	4.381979522	4.736928328	4.043412969	4.351945392	4.521228669	4.5621843	3.879590444	4.414744027	4.256382253
ermB	2	4.163549488	3.377201365	3.69665529	4.237269625	3.991535836	5.908259386	5.258430034	4.310989761	3.95331058	4.493924915
ermB	3	3.950580205	3.319863481	3.434539249	3.284368601	4.204505119	3.7621843	3.639317406	5.007235495	4.873447099	3.88778157
ermB	4	4.720546075	4.286416382	4.14443686	4.10894198	4.578566553	4.302798635	4.267303754	4.278225256	4.529419795	4.245460751
ermB	5	3.721228669	3.729419795	3.732150171	3.453651877	4.455699659	3.958771331	3.046825939	4.021569966	3.459112628	3.704846416
ermB	6	3.592901024	3.486416382	3.480955631	3.895972696	3.614744027	3.199726962	3.480955631	5.16559727	4.504846416	4.62225256
ermB	7	3.633856655	3.7621843	3.030443686	3.753993174	3.890511945	3.311672355	3.72668942	3.69665529	2.738293515	3.770375427
tetw	1	4.383940411	4.051011483	4.570154897	3.972011399	4.005868578	4.172333042	4.541940581	3.994582851	4.067940073	4.008690009
tetw	2	3.85068984	3.503653754	3.314617837	3.565725249	3.311796405	4.857940919	4.412154727	3.40772508	3.582653839	3.376689332
tetw	3	2.789831561	2.75315295	3.311796405	3.162260531	3.816832661	3.325903563	0	5.53226307	4.04536862	0
tetw	4	4.572976328	4.127190136	3.650368197	3.955082809	4.468583359	4.082047231	4.031261462	4.237225968	4.406511864	4.104618684
tetw	5	3.354117879	3.187653415	0	3.354117879	3.86761843	3.176367689	2.403295432	3.354117879	3.128403352	3.356939311
tetw	6	3.382332195	3.261010637	3.052224699	3.859154135	3.373867901	3.311796405	3.340010721	5.492763028	4.674547866	5.046976836
tetw	7	3.483903733	2.008295009	3.58547527	3.893011314	4.251333126	3.706796829	3.926868493	3.173546257	0	4.087690094
tnpA02	1	4.030615039	4.249685087	4.386603867	3.732132099	3.830713621	4.170272195	4.24146996	3.858097377	4.17301057	3.9676324
tnpA02	2	4.381127115	0	0	3.671887836	3.32137576	0	0	2.740840134	3.513062052	3.699271592
tnpA02	3	0	0	0	3.241962868	3.992277781	3.597951695	2.253409278	3.773207733	0	0
tnpA02	4	4.416725998	3.940248645	3.463771291	4.099074429	4.0799058	3.880004381	4.003231283	3.978585903	3.677364587	3.929295142
tnpA02	5	3.318637384	3.283038502	0	0	3.628073827	0	3.663672709	0	0	0
tnpA02	6	3.723916972	3.603428446	3.22827099	4.068952297	3.365189769	2.206856892	3.263869872	3.710225094	3.855359001	3.658195958
tnpA02	7	3.896434635	4.364696862	4.181225697	3.168026727	4.51530752	7.160578345	5.054767512	4.162057068	5.073936141	0
tnpA04	1	4.47074023	4.776110638	4.453122706	4.47074023	4.497166515	4.420823913	4.573509117	4.100772235	4.274011216	4.494230261
tnpA04	2	4.714449306	3.55169275	3.942214523	4.814281939	5.310508853	4.646915465	4.074345949	3.539947735	3.801274334	3.443051355
tnpA04	3	3.046657075	3.246322342	3.463605133	3.657397892	3.751358017	3.281557389	4.585254133	4.743811845	3.901106968	3.187597263
tnpA04	4	4.564700355	4.320991279	3.763103033	4.256393693	4.347417565	4.497166515	4.479548991	4.356226326	4.241712423	4.177114837
tnpA04	5	3.448923863	3.630971606	3.120063423	3.425433832	3.786593065	3.774848049	3.595736559	3.713186716	3.528202719	3.660334146
tnpA04	6	2.999677012	3.419561324	3.125935931	4.162433567	3.918724491	3.325601198	3.49884018	3.492967672	4.153624805	3.528202719
tnpA04	7	3.686760431	3.965704554	3.322664944	3.38726253	4.030302141	3.795401826	3.443051355	3.214023549	3.287429897	5.730393164
intI1	1	4.594881241	4.377180496	4.636746769	4.128778364	4.296240476	4.377180496	4.340897039	3.869212091	4.139942505	4.290658405
intI1	2	5.43777387	4.095285942	4.338106004	4.826537163	5.250774512	4.759552318	4.131569399	3.698958944	3.693376873	3.673839627
intI1	3	2.805827681	0	0	3.657093416	3.897122443	3.350079545	5.208908984	4.628373664	3.866421056	2.28948617
intI1	4	4.553015714	4.246001842	3.908286583	4.061793519	4.483239834	3.855256915	4.195763209	4.179016997	4.438583271	4.128778364
intI1	5	3.458929917	3.2830947	2.822573893	3.500795445	3.749197577	3.322169193	3.791063105	3.015155321	3.230065031	3.740824472
intI1	6	0	3.408691284	0	4.07853973	3.405900248	3.001200145	3.076558095	3.78827207	3.880376232	3.885958302
intI1	7	4.06737559	4.597672277	0	2.763962154	3.866421056	3.830137598	2.814200787	3.121214659	3.453347847	0
