	ermB	tetw	tnpA02	tnpA04	intI1
B01	4.52668942	4.383940411	4.030615039	4.47074023	4.594881241
B02	4.381979522	4.051011483	4.249685087	4.776110638	4.377180496
B03	4.736928328	4.570154897	4.386603867	4.453122706	4.636746769
B04	4.043412969	3.972011399	3.732132099	4.47074023	4.128778364
B05	4.351945392	4.005868578	3.830713621	4.497166515	4.296240476
B06	4.521228669	4.172333042	4.170272195	4.420823913	4.377180496
B07	4.5621843	4.541940581	4.24146996	4.573509117	4.340897039
B08	3.879590444	3.994582851	3.858097377	4.100772235	3.869212091
B09	4.414744027	4.067940073	4.17301057	4.274011216	4.139942505
B10	4.256382253	4.008690009	3.9676324	4.494230261	4.290658405
B11	4.163549488	3.85068984	4.381127115	4.714449306	5.43777387
B12	3.377201365	3.503653754	0	3.55169275	4.095285942
B13	3.69665529	3.314617837	0	3.942214523	4.338106004
B14	4.237269625	3.565725249	3.671887836	4.814281939	4.826537163
B15	3.991535836	3.311796405	3.32137576	5.310508853	5.250774512
B16	5.908259386	4.857940919	0	4.646915465	4.759552318
B17	5.258430034	4.412154727	0	4.074345949	4.131569399
B18	4.310989761	3.40772508	2.740840134	3.539947735	3.698958944
B19	3.95331058	3.582653839	3.513062052	3.801274334	3.693376873
B20	4.493924915	3.376689332	3.699271592	3.443051355	3.673839627
B21	3.950580205	2.789831561	0	3.046657075	2.805827681
B22	3.319863481	2.75315295	0	3.246322342	0
B23	3.434539249	3.311796405	0	3.463605133	0
B24	3.284368601	3.162260531	3.241962868	3.657397892	3.657093416
B25	4.204505119	3.816832661	3.992277781	3.751358017	3.897122443
B26	3.7621843	3.325903563	3.597951695	3.281557389	3.350079545
B27	3.639317406	0	2.253409278	4.585254133	5.208908984
B28	5.007235495	5.53226307	3.773207733	4.743811845	4.628373664
B29	4.873447099	4.04536862	0	3.901106968	3.866421056
B30	3.88778157	0	0	3.187597263	2.28948617
B31	4.720546075	4.572976328	4.416725998	4.564700355	4.553015714
B32	4.286416382	4.127190136	3.940248645	4.320991279	4.246001842
B33	4.14443686	3.650368197	3.463771291	3.763103033	3.908286583
B34	4.10894198	3.955082809	4.099074429	4.256393693	4.061793519
B35	4.578566553	4.468583359	4.0799058	4.347417565	4.483239834
B36	4.302798635	4.082047231	3.880004381	4.497166515	3.855256915
B37	4.267303754	4.031261462	4.003231283	4.479548991	4.195763209
B38	4.278225256	4.237225968	3.978585903	4.356226326	4.179016997
B39	4.529419795	4.406511864	3.677364587	4.241712423	4.438583271
B40	4.245460751	4.104618684	3.929295142	4.177114837	4.128778364
B41	3.721228669	3.354117879	3.318637384	3.448923863	3.458929917
B42	3.729419795	3.187653415	3.283038502	3.630971606	3.2830947
B43	3.732150171	0	0	3.120063423	2.822573893
B44	3.453651877	3.354117879	0	3.425433832	3.500795445
B45	4.455699659	3.86761843	3.628073827	3.786593065	3.749197577
B46	3.958771331	3.176367689	0	3.774848049	3.322169193
B47	3.046825939	2.403295432	3.663672709	3.595736559	3.791063105
B48	4.021569966	3.354117879	0	3.713186716	3.015155321
B49	3.459112628	3.128403352	0	3.528202719	3.230065031
B50	3.704846416	3.356939311	0	3.660334146	3.740824472
B51	3.592901024	3.382332195	3.723916972	2.999677012	0
B52	3.486416382	3.261010637	3.603428446	3.419561324	3.408691284
B53	3.480955631	3.052224699	3.22827099	3.125935931	0
B54	3.895972696	3.859154135	4.068952297	4.162433567	4.07853973
B55	3.614744027	3.373867901	3.365189769	3.918724491	3.405900248
B56	3.199726962	3.311796405	2.206856892	3.325601198	3.001200145
B57	3.480955631	3.340010721	3.263869872	3.49884018	3.076558095
B58	5.16559727	5.492763028	3.710225094	3.492967672	3.78827207
B59	4.504846416	4.674547866	3.855359001	4.153624805	3.880376232
B60	4.62225256	5.046976836	3.658195958	3.528202719	3.885958302
B61	3.633856655	3.483903733	3.896434635	3.686760431	4.06737559
B62	3.7621843	2.008295009	4.364696862	3.965704554	4.597672277
B63	3.030443686	3.58547527	4.181225697	3.322664944	0
B64	3.753993174	3.893011314	3.168026727	3.38726253	2.763962154
B65	3.890511945	4.251333126	4.51530752	4.030302141	3.866421056
B66	3.311672355	3.706796829	7.160578345	3.795401826	3.830137598
B67	3.72668942	3.926868493	5.054767512	3.443051355	2.814200787
B68	3.69665529	3.173546257	4.162057068	3.214023549	3.121214659
B69	2.738293515	0	5.073936141	3.287429897	3.453347847
B70	3.770375427	4.087690094	0	5.730393164	0
